horse,horseLabel,mother,father,birthyear,deathyear,genderLabel
http://www.wikidata.org/entity/Q7574398,Spearmint,http://www.wikidata.org/entity/Q61987954,http://www.wikidata.org/entity/Q5037864,1903,,male organism
http://www.wikidata.org/entity/Q7574529,Special Duty,,http://www.wikidata.org/entity/Q11336442,2007,,female organism
http://www.wikidata.org/entity/Q7574536,Special Effort,,,1979,2006,
http://www.wikidata.org/entity/Q7574545,Special Envoy,,,1980,2010,male organism
http://www.wikidata.org/entity/Q7575032,Speciosa,,http://www.wikidata.org/entity/Q5215867,2003,,female organism
http://www.wikidata.org/entity/Q7576270,Spend A Buck,,,1982,2002,male organism
http://www.wikidata.org/entity/Q7576290,Spendthrift,,,1876,,male organism
http://www.wikidata.org/entity/Q7577235,Spikeld,,,1993,,
http://www.wikidata.org/entity/Q7577285,Spilletta,,http://www.wikidata.org/entity/Q3423713,1749,1776,female organism
http://www.wikidata.org/entity/Q7577625,Spinning World,,http://www.wikidata.org/entity/Q3346473,1993,,male organism
http://www.wikidata.org/entity/Q7577690,Spion Kop,,http://www.wikidata.org/entity/Q7574398,1917,,male organism
http://www.wikidata.org/entity/Q757832,Admire Don,http://www.wikidata.org/entity/Q11336820,http://www.wikidata.org/entity/Q7804636,1999,,male organism
http://www.wikidata.org/entity/Q7578847,Spokane,,,1886,,male organism
http://www.wikidata.org/entity/Q7580250,Spread Eagle,,,1792,,male organism
http://www.wikidata.org/entity/Q7580809,Springbok,,,1870,,male organism
http://www.wikidata.org/entity/Q7581318,Sprinter Sacre,,,2006,,
http://www.wikidata.org/entity/Q7581515,Spun Sugar,,http://www.wikidata.org/entity/Q4830021,2002,,female organism
http://www.wikidata.org/entity/Q7581536,Spur,,http://www.wikidata.org/entity/Q6411751,1913,,male organism
http://www.wikidata.org/entity/Q7581695,Spy Song,http://www.wikidata.org/entity/Q17018612,,1943,,male organism
http://www.wikidata.org/entity/Q7581996,Square Angel,,http://www.wikidata.org/entity/Q7268310,1970,,female organism
http://www.wikidata.org/entity/Q7582011,Square Eddie,,http://www.wikidata.org/entity/Q6145306,2006,,male organism
http://www.wikidata.org/entity/Q7582355,Squirtle Squirt,,,1998,,male organism
http://www.wikidata.org/entity/Q7586803,St. Amant,,http://www.wikidata.org/entity/Q7588068,1901,,male organism
http://www.wikidata.org/entity/Q7587244,St. Bass,,,1908,,male organism
http://www.wikidata.org/entity/Q7587310,St. Blaise,http://www.wikidata.org/entity/Q62022397,http://www.wikidata.org/entity/Q5741736,1880,,male organism
http://www.wikidata.org/entity/Q7588068,St. Frusquin,http://www.wikidata.org/entity/Q62014684,http://www.wikidata.org/entity/Q280168,1893,,male organism
http://www.wikidata.org/entity/Q7588078,St. Gatien,http://www.wikidata.org/entity/Q61997522,http://www.wikidata.org/entity/Q61997512,1881,,male organism
http://www.wikidata.org/entity/Q7588260,St. Giles,http://www.wikidata.org/entity/Q61993716,http://www.wikidata.org/entity/Q61992557,1829,,male organism
http://www.wikidata.org/entity/Q7590888,St. Paddy,,http://www.wikidata.org/entity/Q4822299,1957,,male organism
http://www.wikidata.org/entity/Q7592076,St. Vincent,,http://www.wikidata.org/entity/Q7076081,1951,,
http://www.wikidata.org/entity/Q7593870,St Jovite,,http://www.wikidata.org/entity/Q11335830,1989,2016,male organism
http://www.wikidata.org/entity/Q7594020,St Lite,http://www.wikidata.org/entity/Q11333780,http://www.wikidata.org/entity/Q11316729,1938,1965,male organism
http://www.wikidata.org/entity/Q75949330,Quebec Tame,http://www.wikidata.org/entity/Q76557066,http://www.wikidata.org/entity/Q1436529,2004,,male organism
http://www.wikidata.org/entity/Q7594947,St Nicholas Abbey,,http://www.wikidata.org/entity/Q3322808,2007,2014,male organism
http://www.wikidata.org/entity/Q7595415,St Reims,,http://www.wikidata.org/entity/Q8063464,1999,,male organism
http://www.wikidata.org/entity/Q7595808,Stacelita,,http://www.wikidata.org/entity/Q1945364,2006,,female organism
http://www.wikidata.org/entity/Q7596788,Stage Door Johnny,,http://www.wikidata.org/entity/Q7244105,1965,,male organism
